INSTNM,CITY,STABBR,LATITUDE,LONGITUDE,ADM_RATE,SAT_AVG,TUITIONFEE_IN,TUITIONFEE_OUT
Herzing University-Toledo,Toledo,OH,41.639266,-83.665453,NULL,NULL,14000,14000
Capri Beauty College,New Lenox,IL,41.509958,-87.927816,NULL,NULL,NULL,NULL
Milan Institute-Bakersfield,Bakersfield,CA,35.385513,-119.023088,NULL,NULL,NULL,NULL
Homestead Schools,Torrance,CA,33.809096,-118.35009,NULL,NULL,NULL,NULL
Carrington College-Las Vegas,Las Vegas,NV,36.08486,-115.118231,0.8958,NULL,NULL,NULL
Carrington College-Reno,Reno,NV,39.463165,-119.786947,0.9552,NULL,NULL,NULL
Chamberlain University-Florida,Jacksonville,FL,30.243517,-81.586421,0.7857,NULL,19375,19375
Remington College-Columbia Campus,Columbia,SC,34.032225,-81.09721,NULL,NULL,NULL,NULL
Washington Barber College Inc,Little Rock,AR,34.69065,-92.335352,NULL,NULL,NULL,NULL
InterCoast Colleges-Rancho Cordova,Rancho Cordova,CA,38.561309,-121.334243,NULL,NULL,NULL,NULL
Horizon University,Indianapolis,IN,39.894654,-85.986809,NULL,NULL,9300,9300
San Diego Culinary Institute,La Mesa,CA,32.763846,-117.024063,0.6935,NULL,NULL,NULL
Beyond 21st Century Beauty Academy,Santa Fe Springs,CA,33.916443,-118.041477,NULL,NULL,NULL,NULL
Academy for Jewish Religion-California,Los Angeles,CA,34.070281,-118.438495,NULL,NULL,NULL,NULL
Angeles College,Los Angeles,CA,34.061223,-118.29903,NULL,NULL,NULL,NULL
Angeles Institute,ARTESIA,CA,33.875772,-118.080741,NULL,NULL,NULL,NULL
Paul Mitchell the School-Temecula,Temecula,CA,33.507316,-117.146674,NULL,NULL,NULL,NULL
European Academy of Cosmetology and Hairdressing,Guilford,CT,41.295441,-72.700147,NULL,NULL,NULL,NULL
International Institute of Cosmetology,Wethersfield,CT,41.707932,-72.661782,NULL,NULL,NULL,NULL
Florida School of Traditional Midwifery,Gainesville,FL,29.652269,-82.31585,NULL,NULL,NULL,NULL
Emerald Coast Technical College,DeFuniak Springs,FL,30.73209,-86.128061,NULL,NULL,NULL,NULL
